seed_param,seed_sim,r,mean,SD,median,Q1,Q3,IQR
1,1,-1,68.7,15.995895938292637,65,60,76.25,16.25
1,1,-0.75,68.45,14.225723606242747,65,60,75,15
1,1,-0.5,68.45,15.401938091347366,65,60,75,15
1,1,-0.25,68.65,12.94617840729593,65,60,75,15
1,1,0,67.1,12.04327214839904,65,60,75,15
1,1,0.25,67.4,11.043531860758856,65,60,75,15
1,1,0.5,68.75,10.184534720582354,70,63.75,75,11.25
1,1,0.75,67.6,9.520843694046482,65,60,75,15
1,1,1,67.75,7.732098908792718,65,65,70,5
1,2,-1,69.2,14.834439863392419,65,60,80,20
1,2,-0.75,67.9,14.92709555868729,65,60,75,15
1,2,-0.5,68.35,13.220259170124182,65,60,75,15
1,2,-0.25,68.5,12.421470496399744,70,60,75,15
1,2,0,67.2,11.039872638703214,65,60,75,15
1,2,0.25,67.25,10.597669841083277,65,60,75,15
1,2,0.5,68.45,8.980759455861202,65,63.75,75,11.25
1,2,0.75,67.85,9.024517670874117,67.5,60,75,15
1,2,1,69.55,7.456777813072839,70,65,75,10
1,3,-1,68.55,15.736064863037944,65,60,80,20
1,3,-0.75,68.15,13.91995515492602,65,60,75,15
1,3,-0.5,67,13.007379412930154,65,60,75,15
1,3,-0.25,67.8,12.89663647325272,65,60,75,15
1,3,0,67.35,12.379826372372959,65,60,75,15
1,3,0.25,68.5,11.066830958984937,70,60,75,15
1,3,0.5,68.85,10.021567650912615,70,63.75,75,11.25
1,3,0.75,68.6,8.792788597090874,70,60,75,15
1,3,1,68.1,6.882124407741869,70,65,70,5
1,4,-1,67.3,14.344604447933612,65,60,75,15
1,4,-0.75,67.85,14.34169946116371,65,60,75,15
1,4,-0.5,68.3,13.35641940768331,65,60,75,15
1,4,-0.25,67.9,12.61672771291424,65,60,75,15
1,4,0,68.65,11.95224081944723,65,60,75,15
1,4,0.25,67.95,10.446955962809879,65,60,75,15
1,4,0.5,69.4,9.108770332470622,70,65,75,10
1,4,0.75,68.4,8.099133262020054,70,65,75,10
1,4,1,68.5,7.7034689811431285,70,65,75,10
1,5,-1,69.1,15.264999247304338,65,60,76.25,16.25
1,5,-0.75,68.15,15.186633543476264,65,60,75,15
1,5,-0.5,68.15,12.485446072782647,65,60,75,15
1,5,-0.25,69.25,12.172476819414852,70,60,75,15
1,5,0,68.35,13.00844713905918,65,60,75,15
1,5,0.25,68.05,10.938187207848447,70,60,75,15
1,5,0.5,68.6,10.226722768602784,65,60,75,15
1,5,0.75,67.75,8.59806767109725,70,60,70,10
1,5,1,68.1,8.281048096452379,65,65,75,10
1,6,-1,67.35,15.430767507113373,65,55,80,25
