seed_param,seed_sim,r,n,events,median,lwr,upr
1,1,-1,100,100,65,65,70
1,1,-0.75,100,100,65,65,70
1,1,-0.5,100,100,65,65,70
1,1,-0.25,100,100,65,65,70
1,1,0,100,100,65,60,70
1,1,0.25,100,100,65,65,70
1,1,0.5,100,100,70,65,70
1,1,0.75,100,100,65,65,70
1,1,1,100,100,65,65,70
1,2,-1,100,100,65,65,70
1,2,-0.75,100,100,65,65,70
1,2,-0.5,100,100,65,65,70
1,2,-0.25,100,100,70,65,70
1,2,0,100,100,65,65,70
1,2,0.25,100,100,65,65,70
1,2,0.5,100,100,65,65,70
1,2,0.75,100,100,67.5,65,70
1,2,1,100,100,70,65,70
1,3,-1,100,100,65,65,70
1,3,-0.75,100,100,65,65,70
1,3,-0.5,100,100,65,65,70
1,3,-0.25,100,100,65,65,70
1,3,0,100,100,65,65,70
1,3,0.25,100,100,70,65,70
1,3,0.5,100,100,70,65,70
1,3,0.75,100,100,70,65,70
1,3,1,100,100,70,65,70
1,4,-1,100,100,65,65,70
1,4,-0.75,100,100,65,65,70
1,4,-0.5,100,100,65,65,70
1,4,-0.25,100,100,65,65,70
1,4,0,100,100,65,65,70
1,4,0.25,100,100,65,65,70
1,4,0.5,100,100,70,70,70
1,4,0.75,100,100,70,65,70
1,4,1,100,100,70,65,70
1,5,-1,100,100,65,65,70
1,5,-0.75,100,100,65,65,70
1,5,-0.5,100,100,65,65,70
1,5,-0.25,100,100,70,65,70
1,5,0,100,100,65,65,70
1,5,0.25,100,100,70,65,70
1,5,0.5,100,100,65,65,70
1,5,0.75,100,100,70,65,70
1,5,1,100,100,65,65,70
1,6,-1,100,100,65,60,70
1,6,-0.75,100,100,65,65,70
1,6,-0.5,100,100,65,65,70
1,6,-0.25,100,100,65,65,70
1,6,0,100,100,70,65,70
1,6,0.25,100,100,65,65,70
1,6,0.5,100,100,70,65,70
1,6,0.75,100,100,70,70,70
1,6,1,100,100,70,65,70
1,7,-1,100,100,70,65,70
1,7,-0.75,100,100,65,65,70
1,7,-0.5,100,100,65,60,70
1,7,-0.25,100,100,70,65,70
1,7,0,100,100,65,65,70
1,7,0.25,100,100,65,65,70
1,7,0.5,100,100,65,65,70
1,7,0.75,100,100,70,65,70
1,7,1,100,100,70,65,70
1,8,-1,100,100,65,65,70
1,8,-0.75,100,100,65,65,70
1,8,-0.5,100,100,65,65,70
1,8,-0.25,100,100,65,65,70
1,8,0,100,100,65,65,70
1,8,0.25,100,100,65,65,70
1,8,0.5,100,100,70,65,70
1,8,0.75,100,100,70,65,70
1,8,1,100,100,70,65,70
1,9,-1,100,100,65,65,70
1,9,-0.75,100,100,65,65,70
1,9,-0.5,100,100,65,65,70
1,9,-0.25,100,100,65,65,70
1,9,0,100,100,65,65,70
1,9,0.25,100,100,65,65,70
1,9,0.5,100,100,65,65,70
1,9,0.75,100,100,70,65,70
1,9,1,100,100,70,65,70
1,10,-1,100,100,65,60,70
1,10,-0.75,100,100,65,65,70
1,10,-0.5,100,100,65,65,70
1,10,-0.25,100,100,65,65,70
1,10,0,100,100,65,65,70
1,10,0.25,100,100,70,65,70
1,10,0.5,100,100,65,65,70
1,10,0.75,100,100,70,65,70
1,10,1,100,100,70,70,70
2,1,-1,100,100,65,65,70
2,1,-0.75,100,100,65,60,70
2,1,-0.5,100,100,65,65,70
2,1,-0.25,100,100,65,65,70
2,1,0,100,100,65,60,70
2,1,0.25,100,100,65,60,70
2,1,0.5,100,100,70,65,70
2,1,0.75,100,100,65,65,70
2,1,1,100,100,70,65,70
2,2,-1,100,100,65,65,70
2,2,-0.75,100,100,65,60,70
2,2,-0.5,100,100,65,60,70
2,2,-0.25,100,100,65,60,70
2,2,0,100,100,65,65,70
2,2,0.25,100,100,65,65,70
2,2,0.5,100,100,65,65,70
2,2,0.75,100,100,70,70,75
2,2,1,100,100,70,65,70
2,3,-1,100,100,65,65,70
2,3,-0.75,100,100,65,60,70
2,3,-0.5,100,100,65,65,70
2,3,-0.25,100,100,65,65,70
2,3,0,100,100,70,65,70
2,3,0.25,100,100,70,65,70
2,3,0.5,100,100,67.5,65,70
2,3,0.75,100,100,70,65,70
2,3,1,100,100,65,65,70
2,4,-1,100,100,65,60,70
2,4,-0.75,100,100,65,65,70
2,4,-0.5,100,100,65,65,70
