seed_param,r_mean,r_logSigma,ID,Pro,Lid
1,0,0,1,75,90
1,0,0,2,70,60
1,0,0,3,45,65
1,0,0,4,55,65
1,0,0,5,70,60
1,0,0,6,40,55
1,0,0,7,75,85
1,0,0,8,45,65
1,0,0,9,70,50
1,0,0,10,50,100
1,0,0,11,55,50
1,0,0,12,60,70
1,0,0,13,50,90
1,0,0,14,65,85
1,0,0,15,65,60
1,0,0,16,30,75
1,0,0,17,45,60
1,0,0,18,75,80
1,0,0,19,65,85
1,0,0,20,40,70
1,0,0,21,60,85
1,0,0,22,50,55
1,0,0,23,70,60
1,0,0,24,50,65
1,0,0,25,55,45
1,0,0,26,55,65
1,0,0,27,55,75
1,0,0,28,25,40
1,0,0,29,75,70
1,0,0,30,45,70
1,0,0,31,35,110
1,0,0,32,55,50
1,0,0,33,55,60
1,0,0,34,75,55
1,0,0,35,70,45
1,0,0,36,50,60
1,0,0,37,50,65
1,0,0,38,75,55
1,0,0,39,65,60
1,0,0,40,65,90
1,0,0,41,50,60
1,0,0,42,55,80
1,0,0,43,65,65
1,0,0,44,50,75
1,0,0,45,45,65
1,0,0,46,60,70
1,0,0,47,45,65
1,0,0,48,90,60
1,0,0,49,75,75
1,0,0,50,75,60
1,0,0,51,65,65
1,0,0,52,55,65
1,0,0,53,75,70
1,0,0,54,50,70
1,0,0,55,60,50
1,0,0,56,60,70
1,0,0,57,45,75
1,0,0,58,65,70
1,0,0,59,60,70
1,0,0,60,50,70
1,0,0,61,50,60
1,0,0,62,50,70
1,0,0,63,55,55
1,0,0,64,70,80
1,0,0,65,75,70
1,0,0,66,45,75
1,0,0,67,55,75
1,0,0,68,65,75
1,0,0,69,70,85
1,0,0,70,65,70
1,0,0,71,70,55
1,0,0,72,75,70
1,0,0,73,80,75
1,0,0,74,30,75
1,0,0,75,65,85
1,0,0,76,55,70
1,0,0,77,55,80
1,0,0,78,85,75
1,0,0,79,40,70
1,0,0,80,70,50
1,0,0,81,45,75
1,0,0,82,65,60
1,0,0,83,55,50
1,0,0,84,55,75
1,0,0,85,50,60
1,0,0,86,20,65
1,0,0,87,65,70
1,0,0,88,60,95
1,0,0,89,60,70
1,0,0,90,40,50
1,0,0,91,60,55
1,0,0,92,45,110
1,0,0,93,45,65
1,0,0,94,55,80
1,0,0,95,65,75
1,0,0,96,60,65
1,0,0,97,90,55
1,0,0,98,55,75
1,0,0,99,50,80
1,0,0,100,60,60
