seed_param,seed_sim,condition,ID,Pro,Lid,Mep,Bup,Lid+Adr
1,1,1,1,55,70,85,75,170
1,1,1,2,45,60,80,95,165
1,1,1,3,60,75,80,85,Inf
1,1,1,4,55,65,85,115,Inf
1,1,1,5,50,80,100,120,Inf
1,1,1,6,55,60,75,100,Inf
1,1,1,7,70,55,90,155,170
1,1,1,8,80,75,85,100,Inf
1,1,1,9,70,90,80,80,Inf
1,1,1,10,45,90,100,85,Inf
1,1,1,11,75,75,90,120,Inf
1,1,1,12,65,70,105,90,Inf
1,1,1,13,75,65,90,110,Inf
1,1,1,14,65,50,70,75,170
1,1,1,15,45,60,85,100,Inf
1,1,1,16,55,65,75,95,170
1,1,1,17,65,60,80,100,Inf
1,1,1,18,50,75,75,110,Inf
1,1,1,19,60,60,75,110,Inf
1,1,1,20,65,70,80,125,Inf
1,1,1,21,50,85,70,80,Inf
1,1,1,22,70,75,70,105,Inf
1,1,1,23,45,65,80,70,150
1,1,1,24,65,60,65,120,Inf
1,1,1,25,80,55,85,105,150
1,1,1,26,45,60,80,120,Inf
1,1,1,27,55,55,90,130,155
1,1,1,28,55,75,70,90,Inf
1,1,1,29,70,45,80,110,130
1,1,1,30,65,55,90,100,170
1,1,1,31,60,50,70,105,150
1,1,1,32,60,65,85,105,175
1,1,1,33,90,60,80,120,170
1,1,1,34,45,65,75,115,175
1,1,1,35,60,60,75,90,145
1,1,1,36,50,60,70,130,180
1,1,1,37,50,55,100,90,155
1,1,1,38,60,55,115,105,150
1,1,1,39,30,60,90,85,Inf
1,1,1,40,60,80,80,95,Inf
1,1,1,41,45,60,70,130,180
1,1,1,42,65,75,85,135,Inf
1,1,1,43,50,65,80,120,180
1,1,1,44,85,80,100,105,Inf
1,1,1,45,45,65,60,95,Inf
1,1,1,46,85,65,95,110,Inf
1,1,1,47,60,70,80,100,Inf
1,1,1,48,65,75,80,85,Inf
1,1,1,49,40,70,110,110,Inf
1,1,1,50,60,70,75,120,Inf
1,1,1,51,45,50,80,100,145
1,1,1,52,50,70,75,100,Inf
1,1,1,53,60,80,85,65,Inf
1,1,1,54,50,55,80,105,140
1,1,1,55,75,80,60,100,Inf
1,1,1,56,70,45,80,85,115
1,1,1,57,55,75,60,105,Inf
1,1,1,58,45,100,100,95,Inf
1,1,1,59,70,65,80,75,Inf
1,1,1,60,55,65,70,110,165
1,1,1,61,90,90,70,90,Inf
1,1,1,62,70,55,170,70,175
1,1,1,63,55,70,70,110,Inf
1,1,1,64,60,55,75,95,135
1,1,1,65,65,70,75,120,Inf
1,1,1,66,55,60,80,105,170
1,1,1,67,50,65,95,75,Inf
1,1,1,68,50,55,80,105,155
1,1,1,69,35,60,70,100,Inf
1,1,1,70,60,65,60,105,Inf
1,1,1,71,60,80,85,110,Inf
1,1,1,72,70,60,100,100,165
1,1,1,73,40,55,120,140,135
1,1,1,74,55,50,75,90,165
1,1,1,75,40,80,90,85,Inf
1,1,1,76,60,45,70,105,145
1,1,1,77,30,60,110,100,165
1,1,1,78,50,65,105,125,Inf
1,1,1,79,50,90,65,100,Inf
1,1,1,80,70,65,75,105,Inf
1,1,1,81,80,60,75,100,Inf
1,1,1,82,80,65,85,100,Inf
1,1,1,83,55,80,85,90,Inf
1,1,1,84,90,90,80,115,Inf
1,1,1,85,60,70,80,110,Inf
1,1,1,86,45,70,80,100,Inf
1,1,1,87,35,75,80,105,Inf
1,1,1,88,80,90,80,100,Inf
