seed_param,seed_sim,condition,judge,n,rate
1,1,1,Pro < Lid,68,0.68
1,1,1,Pro = Lid,6,0.06
1,1,1,Pro > Lid,26,0.26
1,1,2,Pro < Lid,71,0.71
1,1,2,Pro = Lid,4,0.04
1,1,2,Pro > Lid,25,0.25
1,1,3,Pro < Lid,75,0.75
1,1,3,Pro = Lid,11,0.11
1,1,3,Pro > Lid,14,0.14
1,1,4,Pro < Lid,70,0.7
1,1,4,Pro = Lid,5,0.05
1,1,4,Pro > Lid,25,0.25
1,2,1,Pro < Lid,66,0.66
1,2,1,Pro = Lid,8,0.08
1,2,1,Pro > Lid,26,0.26
1,2,2,Pro < Lid,68,0.68
1,2,2,Pro = Lid,6,0.06
1,2,2,Pro > Lid,26,0.26
1,2,3,Pro < Lid,76,0.76
1,2,3,Pro = Lid,4,0.04
1,2,3,Pro > Lid,20,0.2
1,2,4,Pro < Lid,66,0.66
1,2,4,Pro = Lid,11,0.11
1,2,4,Pro > Lid,23,0.23
1,3,1,Pro < Lid,68,0.68
1,3,1,Pro = Lid,9,0.09
1,3,1,Pro > Lid,23,0.23
1,3,2,Pro < Lid,67,0.67
1,3,2,Pro = Lid,4,0.04
1,3,2,Pro > Lid,29,0.29
1,3,3,Pro < Lid,66,0.66
1,3,3,Pro = Lid,14,0.14
1,3,3,Pro > Lid,20,0.2
1,3,4,Pro < Lid,71,0.71
1,3,4,Pro = Lid,11,0.11
1,3,4,Pro > Lid,18,0.18
1,4,1,Pro < Lid,68,0.68
1,4,1,Pro = Lid,5,0.05
1,4,1,Pro > Lid,27,0.27
1,4,2,Pro < Lid,67,0.67
1,4,2,Pro = Lid,4,0.04
1,4,2,Pro > Lid,29,0.29
1,4,3,Pro < Lid,75,0.75
1,4,3,Pro = Lid,9,0.09
1,4,3,Pro > Lid,16,0.16
1,4,4,Pro < Lid,70,0.7
1,4,4,Pro = Lid,11,0.11
1,4,4,Pro > Lid,19,0.19
2,1,1,Pro < Lid,66,0.66
2,1,1,Pro = Lid,5,0.05
2,1,1,Pro > Lid,29,0.29
2,1,2,Pro < Lid,67,0.67
2,1,2,Pro = Lid,6,0.06
2,1,2,Pro > Lid,27,0.27
2,1,3,Pro < Lid,77,0.77
2,1,3,Pro = Lid,5,0.05
2,1,3,Pro > Lid,18,0.18
2,1,4,Pro < Lid,74,0.74
2,1,4,Pro = Lid,7,0.07
2,1,4,Pro > Lid,19,0.19
2,2,1,Pro < Lid,65,0.65
2,2,1,Pro = Lid,9,0.09
2,2,1,Pro > Lid,26,0.26
2,2,2,Pro < Lid,66,0.66
2,2,2,Pro = Lid,9,0.09
2,2,2,Pro > Lid,25,0.25
2,2,3,Pro < Lid,71,0.71
2,2,3,Pro = Lid,8,0.08
2,2,3,Pro > Lid,21,0.21
2,2,4,Pro < Lid,71,0.71
2,2,4,Pro = Lid,9,0.09
2,2,4,Pro > Lid,20,0.2
2,3,1,Pro < Lid,70,0.7
2,3,1,Pro = Lid,9,0.09
2,3,1,Pro > Lid,21,0.21
2,3,2,Pro < Lid,65,0.65
2,3,2,Pro = Lid,7,0.07
2,3,2,Pro > Lid,28,0.28
2,3,3,Pro < Lid,74,0.74
2,3,3,Pro = Lid,9,0.09
2,3,3,Pro > Lid,17,0.17
2,3,4,Pro < Lid,70,0.7
2,3,4,Pro = Lid,11,0.11
2,3,4,Pro > Lid,19,0.19
2,4,1,Pro < Lid,74,0.74
2,4,1,Pro = Lid,7,0.07
2,4,1,Pro > Lid,19,0.19
2,4,2,Pro < Lid,66,0.66
2,4,2,Pro = Lid,8,0.08
2,4,2,Pro > Lid,26,0.26
2,4,3,Pro < Lid,71,0.71
2,4,3,Pro = Lid,10,0.1
2,4,3,Pro > Lid,19,0.19
2,4,4,Pro < Lid,69,0.69
2,4,4,Pro = Lid,8,0.08
2,4,4,Pro > Lid,23,0.23
3,1,1,Pro < Lid,64,0.64
3,1,1,Pro = Lid,11,0.11
3,1,1,Pro > Lid,25,0.25
3,1,2,Pro < Lid,62,0.62
3,1,2,Pro = Lid,13,0.13
3,1,2,Pro > Lid,25,0.25
3,1,3,Pro < Lid,69,0.69
3,1,3,Pro = Lid,17,0.17
3,1,3,Pro > Lid,14,0.14
3,1,4,Pro < Lid,69,0.69
3,1,4,Pro = Lid,9,0.09
3,1,4,Pro > Lid,22,0.22
3,2,1,Pro < Lid,69,0.69
3,2,1,Pro = Lid,10,0.1
3,2,1,Pro > Lid,21,0.21
3,2,2,Pro < Lid,63,0.63
3,2,2,Pro = Lid,11,0.11
3,2,2,Pro > Lid,26,0.26
3,2,3,Pro < Lid,71,0.71
3,2,3,Pro = Lid,10,0.1
3,2,3,Pro > Lid,19,0.19
3,2,4,Pro < Lid,66,0.66
3,2,4,Pro = Lid,8,0.08
3,2,4,Pro > Lid,26,0.26
3,3,1,Pro < Lid,68,0.68
3,3,1,Pro = Lid,9,0.09
3,3,1,Pro > Lid,23,0.23
3,3,2,Pro < Lid,62,0.62
3,3,2,Pro = Lid,12,0.12
3,3,2,Pro > Lid,26,0.26
3,3,3,Pro < Lid,67,0.67
3,3,3,Pro = Lid,19,0.19
3,3,3,Pro > Lid,14,0.14
3,3,4,Pro < Lid,68,0.68
3,3,4,Pro = Lid,8,0.08
3,3,4,Pro > Lid,24,0.24
3,4,1,Pro < Lid,59,0.59
3,4,1,Pro = Lid,11,0.11
3,4,1,Pro > Lid,30,0.3
3,4,2,Pro < Lid,63,0.63
3,4,2,Pro = Lid,10,0.1
3,4,2,Pro > Lid,27,0.27
3,4,3,Pro < Lid,70,0.7
3,4,3,Pro = Lid,8,0.08
3,4,3,Pro > Lid,22,0.22
3,4,4,Pro < Lid,68,0.68
3,4,4,Pro = Lid,7,0.07
3,4,4,Pro > Lid,25,0.25
4,1,1,Pro < Lid,69,0.69
4,1,1,Pro = Lid,6,0.06
4,1,1,Pro > Lid,25,0.25
4,1,2,Pro < Lid,65,0.65
4,1,2,Pro = Lid,8,0.08
4,1,2,Pro > Lid,27,0.27
4,1,3,Pro < Lid,74,0.74
4,1,3,Pro = Lid,9,0.09
4,1,3,Pro > Lid,17,0.17
4,1,4,Pro < Lid,70,0.7
4,1,4,Pro = Lid,13,0.13
4,1,4,Pro > Lid,17,0.17
4,2,1,Pro < Lid,68,0.68
4,2,1,Pro = Lid,8,0.08
4,2,1,Pro > Lid,24,0.24
4,2,2,Pro < Lid,67,0.67
4,2,2,Pro = Lid,11,0.11
4,2,2,Pro > Lid,22,0.22
4,2,3,Pro < Lid,73,0.73
4,2,3,Pro = Lid,9,0.09
4,2,3,Pro > Lid,18,0.18
4,2,4,Pro < Lid,71,0.71
4,2,4,Pro = Lid,8,0.08
4,2,4,Pro > Lid,21,0.21
4,3,1,Pro < Lid,69,0.69
4,3,1,Pro = Lid,8,0.08
4,3,1,Pro > Lid,23,0.23
4,3,2,Pro < Lid,64,0.64
4,3,2,Pro = Lid,11,0.11
4,3,2,Pro > Lid,25,0.25
4,3,3,Pro < Lid,70,0.7
4,3,3,Pro = Lid,16,0.16
4,3,3,Pro > Lid,14,0.14
4,3,4,Pro < Lid,67,0.67
4,3,4,Pro = Lid,13,0.13
4,3,4,Pro > Lid,20,0.2
4,4,1,Pro < Lid,71,0.71
4,4,1,Pro = Lid,7,0.07
4,4,1,Pro > Lid,22,0.22
4,4,2,Pro < Lid,64,0.64
4,4,2,Pro = Lid,12,0.12
4,4,2,Pro > Lid,24,0.24
4,4,3,Pro < Lid,71,0.71
4,4,3,Pro = Lid,11,0.11
4,4,3,Pro > Lid,18,0.18
4,4,4,Pro < Lid,72,0.72
4,4,4,Pro = Lid,4,0.04
4,4,4,Pro > Lid,24,0.24
5,1,1,Pro < Lid,59,0.59
5,1,1,Pro = Lid,20,0.2
5,1,1,Pro > Lid,21,0.21
5,1,2,Pro < Lid,62,0.62
5,1,2,Pro = Lid,10,0.1
5,1,2,Pro > Lid,28,0.28
5,1,3,Pro < Lid,72,0.72
5,1,3,Pro = Lid,11,0.11
5,1,3,Pro > Lid,17,0.17
5,1,4,Pro < Lid,69,0.69
5,1,4,Pro = Lid,8,0.08
5,1,4,Pro > Lid,23,0.23
5,2,1,Pro < Lid,64,0.64
5,2,1,Pro = Lid,10,0.1
5,2,1,Pro > Lid,26,0.26
5,2,2,Pro < Lid,60,0.6
5,2,2,Pro = Lid,9,0.09
5,2,2,Pro > Lid,31,0.31
5,2,3,Pro < Lid,68,0.68
5,2,3,Pro = Lid,10,0.1
5,2,3,Pro > Lid,22,0.22
5,2,4,Pro < Lid,65,0.65
5,2,4,Pro = Lid,12,0.12
5,2,4,Pro > Lid,23,0.23
5,3,1,Pro < Lid,63,0.63
5,3,1,Pro = Lid,15,0.15
5,3,1,Pro > Lid,22,0.22
5,3,2,Pro < Lid,67,0.67
5,3,2,Pro = Lid,6,0.06
5,3,2,Pro > Lid,27,0.27
5,3,3,Pro < Lid,66,0.66
5,3,3,Pro = Lid,13,0.13
5,3,3,Pro > Lid,21,0.21
5,3,4,Pro < Lid,64,0.64
5,3,4,Pro = Lid,14,0.14
5,3,4,Pro > Lid,22,0.22
5,4,1,Pro < Lid,65,0.65
5,4,1,Pro = Lid,9,0.09
5,4,1,Pro > Lid,26,0.26
5,4,2,Pro < Lid,59,0.59
5,4,2,Pro = Lid,12,0.12
5,4,2,Pro > Lid,29,0.29
5,4,3,Pro < Lid,76,0.76
5,4,3,Pro = Lid,11,0.11
5,4,3,Pro > Lid,13,0.13
5,4,4,Pro < Lid,69,0.69
5,4,4,Pro = Lid,13,0.13
5,4,4,Pro > Lid,18,0.18
6,1,1,Pro < Lid,69,0.69
6,1,1,Pro = Lid,12,0.12
6,1,1,Pro > Lid,19,0.19
6,1,2,Pro < Lid,69,0.69
6,1,2,Pro = Lid,8,0.08
6,1,2,Pro > Lid,23,0.23
6,1,3,Pro < Lid,67,0.67
6,1,3,Pro = Lid,17,0.17
6,1,3,Pro > Lid,16,0.16
6,1,4,Pro < Lid,71,0.71
6,1,4,Pro = Lid,12,0.12
6,1,4,Pro > Lid,17,0.17
6,2,1,Pro < Lid,67,0.67
6,2,1,Pro = Lid,9,0.09
6,2,1,Pro > Lid,24,0.24
6,2,2,Pro < Lid,71,0.71
6,2,2,Pro = Lid,9,0.09
6,2,2,Pro > Lid,20,0.2
6,2,3,Pro < Lid,75,0.75
6,2,3,Pro = Lid,7,0.07
6,2,3,Pro > Lid,18,0.18
6,2,4,Pro < Lid,72,0.72
6,2,4,Pro = Lid,12,0.12
6,2,4,Pro > Lid,16,0.16
6,3,1,Pro < Lid,65,0.65
6,3,1,Pro = Lid,10,0.1
6,3,1,Pro > Lid,25,0.25
6,3,2,Pro < Lid,66,0.66
6,3,2,Pro = Lid,12,0.12
6,3,2,Pro > Lid,22,0.22
6,3,3,Pro < Lid,66,0.66
6,3,3,Pro = Lid,13,0.13
6,3,3,Pro > Lid,21,0.21
6,3,4,Pro < Lid,66,0.66
6,3,4,Pro = Lid,12,0.12
6,3,4,Pro > Lid,22,0.22
6,4,1,Pro < Lid,74,0.74
6,4,1,Pro = Lid,7,0.07
6,4,1,Pro > Lid,19,0.19
6,4,2,Pro < Lid,66,0.66
